# Cryptococcus neoformans H99 gene information
# Downloaded from FungiDB 59, 2022-09-05
GeneID	ProductDescription	GeneName	CuratedGOComponents	CuratedGOFunctions	CuratedGOProcesses
CNAG_04273	hypothetical protein	NA	NA	NA	NA
CNAG_04274	acyl-CoA thioesterase II	NA	NA	NA	NA
CNAG_04275	Metalloendopeptidase	NA	NA	NA	NA
CNAG_04276	cytosine-purine permease	FCY4	NA	NA	NA
CNAG_04277	hypothetical protein	NA	NA	NA	NA
CNAG_04278	DNA ligase 1	NA	NA	NA	NA
CNAG_04279	hypothetical protein	NA	NA	NA	NA
CNAG_04280	hypothetical protein	NA	NA	NA	NA
CNAG_04281	hypothetical protein	NA	NA	NA	NA
CNAG_04282	CMGC/MAPK protein kinase	MPK2	NA	NA	cellular response to cadmium ion;cellular response to sodium dodecyl sulfate;regulation of urease activity
CNAG_04283	integral membrane protein, variant	NA	NA	NA	NA
CNAG_04284	hypothetical protein	NA	NA	NA	NA
CNAG_04285	hypothetical protein	NA	NA	NA	NA
CNAG_04286	DNA-directed RNA polymerase I, II, and III subunit RPABC3	NA	NA	NA	NA
CNAG_04287	mitochondrial import inner membrane translocase subunit	NA	NA	NA	NA
CNAG_04288	Fe-S protein assembly co-chaperone HscB	NA	NA	NA	NA
CNAG_04289	hypothetical protein	NA	NA	NA	NA
CNAG_04290	hypothetical protein	NA	NA	NA	NA
CNAG_04291	glycosyl-hydrolase	NA	NA	NA	NA
CNAG_04292	hypothetical protein	NA	NA	NA	NA
CNAG_04293	vacuolar protein sorting 41	VPS41	NA	NA	response to starvation
CNAG_04294	hypothetical protein	NA	NA	NA	NA
CNAG_04295	hypothetical protein	NA	NA	NA	NA
CNAG_04296	hypothetical protein	NA	NA	NA	NA
CNAG_04297	ribonuclease HII	NA	NA	NA	NA
CNAG_04298	nucleolar complex protein 3	NOC3	NA	NA	NA
CNAG_04299	hypothetical protein	NA	NA	NA	NA
CNAG_04300	hypothetical protein	NA	NA	NA	NA
CNAG_04301	hypothetical protein	NA	NA	NA	NA
CNAG_04302	hypothetical protein	NA	NA	NA	NA
CNAG_04303	E3 ubiquitin-protein ligase bre1	NA	NA	NA	NA
CNAG_04304	T-complex protein 1 subunit zeta	NA	NA	NA	NA
CNAG_04305	hypothetical protein	NA	NA	NA	NA
CNAG_04306	vesicle transporter SFT2B	NA	NA	NA	NA
CNAG_04307	Urate oxidase	URO1	NA	NA	NA
CNAG_04308	3-hydroxyacyl-CoA dehydrogenase	HAD1	NA	NA	NA
CNAG_04309	hypothetical protein	NA	NA	NA	NA
CNAG_04310	hypothetical protein	NA	NA	NA	NA
CNAG_04311	charged multivesicular body protein 7	NA	NA	NA	NA
CNAG_04312	mannose-6-phosphate isomerase	MAN1	NA	NA	capsule organization
CNAG_04313	NADPH2 dehydrogenase	NA	NA	NA	NA
CNAG_04314	NAD kinase, variant	YEF1	NA	NA	cellular response to hydrogen peroxide
CNAG_04315	hypothetical protein	NA	NA	NA	NA
CNAG_04316	NAD kinase	UTR1	NA	NA	cellular response to antibiotic;cellular response to cadmium ion;cellular response to diamide;cellular response to dithiothreitol;cellular response to heat;cellular response to hydroxyurea;cellular response to menadione;cellular response to methyl methanesulfonate;cellular response to salt stress;ce
CNAG_04317	hypothetical protein	NA	NA	NA	NA
CNAG_04318	telomere length regulation protein	NA	NA	NA	NA
CNAG_04319	hypothetical protein	NA	NA	NA	NA
CNAG_04320	polysaccharide synthase Cps1p	CPS1	NA	NA	NA
CNAG_04321	hypothetical protein	NA	NA	NA	NA
CNAG_04322	hypothetical protein	NA	NA	NA	NA
CNAG_04323	hypothetical protein	NA	NA	NA	NA
CNAG_04324	hypothetical protein	NA	NA	NA	NA
CNAG_04325	extradiol ring-cleavage dioxygenase	NA	NA	NA	NA
CNAG_04326	malate dehydrogenase (oxaloacetate- decarboxylating)	NA	NA	NA	NA
CNAG_04327	hypothetical protein	NA	NA	NA	NA
CNAG_04328	ubiquitin-conjugating enzyme E2 I	NA	NA	NA	NA
CNAG_04329	hypothetical protein	NA	NA	NA	NA
CNAG_04330	hypothetical protein	NA	NA	NA	NA
CNAG_04331	hypothetical protein	NA	NA	NA	NA
CNAG_04332	large subunit ribosomal protein L31	MRPL31	NA	NA	NA
CNAG_04333	hypothetical protein	NA	NA	NA	NA
CNAG_04334	hypothetical protein	MRPS18	NA	NA	NA
CNAG_04335	phosphatidylinositol 4-kinase	NA	NA	NA	NA
CNAG_04336	single-stranded nucleic acid binding protein	NA	NA	NA	NA
CNAG_04337	cation diffusion facilitator	NA	NA	NA	NA
CNAG_04338	cation diffusion facilitator 1	NA	NA	NA	NA
CNAG_04339	exocyst complex component exo84	NA	NA	NA	NA
CNAG_04340	hypothetical protein	NA	NA	NA	NA
CNAG_04341	recyclin-1	NA	NA	NA	NA
CNAG_04342	hypothetical protein	NA	NA	NA	NA
CNAG_04343	nicotinamide mononucleotide permease	NA	NA	NA	NA
CNAG_04344	galactonate dehydratase	NA	NA	NA	NA
CNAG_04345	specific RNA polymerase II transcription factor	ARO8001	NA	NA	response to salt stress
CNAG_04346	dihydrodipicolinate synthase	NA	NA	NA	NA
CNAG_04347	Aspartate kinase	NA	NA	NA	response to heat
CNAG_04348	chaperone	NA	NA	NA	NA
CNAG_04349	hypothetical protein	NA	NA	NA	NA
CNAG_04350	glycerophosphoryl diester phosphodiesterase	NA	NA	NA	NA
CNAG_04351	methylmalonate-semialdehyde dehydrogenase (acylating)	NA	NA	NA	NA
CNAG_04352	Putative zinc finger transcription factor	ZAP103	NA	NA	response to tert-butyl hydroperoxide
CNAG_04353	hypothetical protein, variant	CLR1	NA	NA	capsule organization;negative regulation of capsule organization;response to cadmium ion;response to dithiothreitol;response to sodium dodecyl sulfate;response to tert-butyl hydroperoxide;response to tunicamycin
CNAG_04354	exopolyphosphatase	XPP1	NA	NA	adhesion of symbiont to host endothelial cell;cellular response to methyl methanesulfonate;cellular response to sodium dodecyl sulfate;entry into host;positive regulation of melanin biosynthetic process;regulation of urease activity;response to cyclosporin A
CNAG_04355	hypothetical protein	NA	NA	NA	NA
CNAG_04356	TPR repeat-containing protein	NA	NA	NA	NA
CNAG_04357	hypothetical protein	NA	NA	NA	NA
CNAG_04358	iron-sulfur clusters transporter ATM1, mitochondrial, variant	ATM1	NA	NA	NA
CNAG_04359	hypothetical protein	NA	NA	NA	NA
CNAG_04360	tRNA (guanine37-N1)-methyltransferase	NA	NA	NA	NA
CNAG_04361	hypothetical protein	NA	NA	NA	NA
CNAG_04362	ATP-dependent RNA helicase DBP5	NA	NA	NA	NA
CNAG_04363	hypothetical protein	NA	NA	NA	NA
CNAG_04364	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	NA	NA	NA	NA
CNAG_04365	ribosome biogenesis protein MAK21	NA	NA	NA	NA
CNAG_04366	hypothetical protein	NA	NA	NA	NA
CNAG_04367	hypothetical protein	NA	NA	NA	NA
CNAG_04368	CD2 antigen cytoplasmic tail-binding protein 2	NA	NA	NA	NA
CNAG_04369	hypothetical protein	NA	NA	NA	NA
CNAG_04370	U3 small nucleolar RNA-associated protein 10	NA	NA	NA	NA
CNAG_04371	WD40 domain-containing protein	HSV2	NA	NA	NA
CNAG_04372	DNA-directed RNA polymerase I, II, and III subunit RPABC2	NA	NA	NA	NA
CNAG_04373	alginate lyase	NA	NA	NA	NA
CNAG_04374	hypothetical protein	NA	NA	NA	NA
CNAG_04375	hexaprenyl-diphosphate synthase	NA	NA	NA	NA
CNAG_04376	protein KRI1	NA	NA	NA	NA
CNAG_04377	vacuolar protein	NA	NA	NA	NA
CNAG_04378	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 13	NA	NA	NA	NA
CNAG_04379	hypothetical protein	NA	NA	NA	NA
CNAG_04380	peptidase	NA	extracellular region	NA	NA
CNAG_04381	transcription initiation factor TFIIH subunit 2	NA	NA	NA	NA
CNAG_04382	hypothetical protein	NA	NA	NA	NA
CNAG_04383	acetyltransferase	NA	NA	NA	NA
CNAG_04384	peptidyl-tRNA hydrolase	NA	NA	NA	NA
CNAG_04385	hypothetical protein	NA	NA	NA	NA
CNAG_04386	hypothetical protein	NA	NA	NA	NA
CNAG_04387	thioredoxin-like protein 4A	NA	NA	NA	NA
CNAG_04388	mitochondrial manganese superoxide dismutase	SOD2	NA	NA	response to oxidative stress
CNAG_04389	hypothetical protein	NA	NA	NA	NA
CNAG_04392	sterol-binding protein	MFE2	NA	NA	NA
CNAG_04393	RNA helicase	NA	NA	NA	NA
CNAG_04394	hypothetical protein	NA	NA	NA	NA
CNAG_04395	protein BFR2	NA	NA	NA	NA
CNAG_04396	hypothetical protein	NA	NA	NA	NA
CNAG_04397	hypothetical protein	NA	NA	NA	NA
CNAG_04398	specific RNA polymerase II transcription factor	ARO80	NA	NA	response to heat
CNAG_04399	YggS family pyridoxal phosphate enzyme	NA	NA	NA	NA
CNAG_04400	small subunit ribosomal protein S10	NA	NA	NA	NA
CNAG_04401	alpha-soluble NSF attachment protein	NA	NA	NA	NA
CNAG_04402	splicing factor U2AF 35 kDa subunit	NA	NA	NA	NA
CNAG_04403	CCCH zinc finger protein	NA	NA	NA	NA
CNAG_04404	hypothetical protein	NA	NA	NA	NA
CNAG_04405	cyclin H	NA	NA	NA	NA
CNAG_04406	hypothetical protein	NA	NA	NA	NA
CNAG_04407	dynein intermediate chain, cytosolic	NA	NA	NA	NA
CNAG_04408	choline kinase	CKI1	NA	NA	cellular response to dithiothreitol;cellular response to menadione;positive regulation of urease activity
CNAG_04409	hypothetical protein	NA	NA	NA	NA
CNAG_04410	endoplasmic reticulum protein	NA	NA	NA	NA
CNAG_04411	hypothetical protein	NA	NA	NA	NA
CNAG_04412	hypothetical protein	NA	NA	NA	NA
CNAG_04413	hypothetical protein	NA	NA	NA	NA
CNAG_04414	multidrug resistance protein fnx1	NA	NA	NA	NA
CNAG_04415	oxidoreductase	NA	NA	NA	NA
CNAG_04416	major facilitator superfamily transporter	NA	NA	NA	NA
CNAG_04417	alpha-ketoglutarate-dependent 2,4- dichlorophenoxyacetate dioxygenase	NA	NA	NA	NA
CNAG_04432	hypothetical protein	NA	NA	NA	NA
CNAG_04433	CMGC/DYRK/DYRK2 protein kinase	YAK103	NA	NA	cellular response to hydrogen peroxide;cellular response to menadione;cellular response to salt stress;cellular response to sorbitol
CNAG_04434	hypothetical protein	NA	NA	NA	NA
CNAG_04436	hypothetical protein	NA	NA	NA	NA
CNAG_04437	nicotinamide riboside kinase	NA	NA	NA	NA
CNAG_04438	hypothetical protein	NA	NA	NA	NA
CNAG_04439	V-type proton ATPase subunit B	NA	NA	NA	NA
CNAG_04440	thiamine pyrophosphokinase	NA	NA	NA	NA
CNAG_04441	polyadenylate-binding protein, cytoplasmic and nuclear	NA	NA	NA	NA
CNAG_04442	hypothetical protein, variant	NA	NA	NA	NA
CNAG_04443	hypothetical protein	NA	NA	NA	NA
CNAG_04444	splicing factor 3B subunit 1	NA	NA	NA	NA
CNAG_04445	small subunit ribosomal protein S7e	NA	NA	NA	NA
CNAG_04446	hypothetical protein	NA	NA	NA	NA
CNAG_04447	hypothetical protein	NA	NA	NA	NA
CNAG_04448	large subunit ribosomal protein L19e	NA	NA	NA	NA
CNAG_04449	alpha-1,6-mannosyltransferase	HOC4	NA	NA	NA
CNAG_04450	chromodomain-helicase-DNA-binding protein 1	NA	NA	NA	NA
CNAG_04451	ribonuclease P/MRP protein subunit POP1	NA	NA	NA	NA
CNAG_04452	small subunit ribosomal protein S18	RSM18	NA	NA	NA
CNAG_04453	inositolphosphorylceramide synthase	IPC1	NA	inositol phosphoceramide synthase activity	diacylglycerol biosynthetic process;inositol phosphoceramide metabolic process;melanin biosynthetic process;positive regulation of melanin biosynthetic process;positive regulation of protein kinase C activity
CNAG_04454	hypothetical protein	NA	NA	NA	NA
CNAG_04455	peroxisomal membrane protein 4	NA	NA	NA	NA
CNAG_04456	hypothetical protein	NA	NA	NA	NA
CNAG_04457	hypothetical protein	FZC30	NA	NA	negative regulation of capsule organization;response to diamide;response to heat;response to sodium dodecyl sulfate
CNAG_04458	DNA helicase, variant	NA	NA	NA	NA
CNAG_04459	hypothetical protein	NA	NA	NA	NA
CNAG_04460	RNA polymerase II transcription factor	NA	NA	NA	NA
CNAG_04461	ATP-dependent DNA helicase HFM1/MER3	HFM1	NA	NA	NA
CNAG_04462	F-box protein 9	NA	NA	NA	NA
CNAG_04463	hypothetical protein	NA	NA	NA	NA
CNAG_04465	small nuclear ribonucleoprotein	NA	NA	NA	NA
CNAG_04466	hypothetical protein	NA	NA	NA	NA
CNAG_04467	succinate-semialdehyde dehydrogenase (NADP)	NA	NA	NA	NA
CNAG_04468	Tartrate dehydrogenase	NA	NA	NA	NA
CNAG_04469	4-aminobutyrate transaminase	NA	NA	NA	NA
CNAG_04470	Haloacid dehalogenase, type II	NA	NA	NA	NA
CNAG_04471	FAD dependent oxidoreductase	NA	NA	NA	NA
CNAG_04472	membrane protein	NA	NA	NA	NA
CNAG_04473	hypothetical protein	NA	NA	NA	NA
CNAG_04474	monocarboxylic acid transporter	NA	NA	NA	NA
CNAG_04475	Phosphoglycerate mutase-like superfamily protein	HPP3	NA	NA	filamentous growth
CNAG_04476	hypothetical protein	NA	NA	NA	NA
CNAG_04478	hypothetical protein	NA	NA	NA	cellular response to heat
CNAG_04479	hypothetical protein	NA	NA	NA	NA
CNAG_04484	hypothetical protein	NA	NA	NA	NA
CNAG_04485	long-chain acyl-CoA synthetase	NA	NA	NA	NA
CNAG_04486	hypothetical protein	NA	NA	NA	NA
CNAG_04487	transcription regulator	NA	NA	NA	NA
CNAG_04488	3-ketoacyl-CoA reductase	NA	NA	NA	NA
CNAG_04492	hypothetical protein	NA	NA	NA	NA
CNAG_04493	ubiquitin carboxyl-terminal hydrolase 48	NA	NA	NA	NA
CNAG_04494	U1 small nuclear ribonucleoprotein C	NA	NA	NA	NA
CNAG_04495	hypothetical protein	NA	NA	NA	NA
CNAG_04496	rab GTPase activator	NA	NA	NA	NA
CNAG_04497	hypothetical protein	NA	NA	NA	NA
CNAG_04498	alpha-1,2-mannosidase	NA	NA	NA	NA
CNAG_04499	clathrin light chain	NA	NA	NA	NA
CNAG_04500	hypothetical protein	NA	NA	NA	NA
CNAG_04501	anthranilate synthase/indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	TRP1	NA	NA	NA
CNAG_04502	hypothetical protein	NA	NA	NA	NA
CNAG_04503	hypothetical protein	NA	NA	NA	NA
CNAG_04504	hypothetical protein	NA	NA	NA	NA
CNAG_04505	guanine nucleotide-binding protein subunit alpha	GPA1	NA	NA	capsule organization;mating;response to antibiotic;response to cadmium ion;response to drug
CNAG_04506	hypothetical protein	NA	NA	NA	NA
CNAG_04507	hypothetical protein	NA	NA	NA	NA
CNAG_04508	hypothetical protein	NA	NA	NA	NA
CNAG_04509	hypothetical protein	NA	NA	NA	NA
CNAG_04510	vacuolar protein-sorting-associated protein 4	VPS4	NA	NA	NA
CNAG_04511	hypothetical protein	NA	NA	NA	NA
CNAG_04512	hypothetical protein	NA	NA	NA	NA
CNAG_04513	DNA-directed RNA polymerase III subunit RPC2	NA	NA	NA	NA
CNAG_04514	CMGC/MAPK protein kinase	MPK1	NA	NA	capsule organization;cellular response to antibiotic;cellular response to cadmium ion;cellular response to diamide;cellular response to dithiothreitol;cellular response to heat;cellular response to hydroxyurea;cellular response to methyl methanesulfonate;cellular response to salt stress;cellular res
CNAG_04515	hypothetical protein	NA	NA	NA	NA
CNAG_04516	WSC domain-containing protein	NA	NA	NA	NA
CNAG_04517	hypothetical protein	NA	NA	NA	NA
CNAG_04518	hypothetical protein	ZFC5	NA	NA	NA
CNAG_04519	D-serine dehydratase	NA	NA	NA	NA
CNAG_04520	D-aminoacylase	NA	NA	NA	NA
CNAG_04521	oxidoreductase	NA	NA	NA	mating;response to drug;response to oxidative stress
CNAG_04522	hypothetical protein	NA	NA	NA	NA
CNAG_04523	glyceraldehyde-3-phosphate dehydrogenase, type I	NA	NA	NA	NA
CNAG_04524	zinc metalloprotease	NA	NA	NA	NA
CNAG_04525	glycosylphosphatidylinositol transamidase	NA	NA	NA	NA
CNAG_04526	hypothetical protein	NA	NA	NA	NA
CNAG_04527	hypothetical protein	NA	NA	NA	NA
CNAG_04528	hypothetical protein	NA	NA	NA	NA
CNAG_04529	cytochrome c oxidase-assembly factor COX16	NA	NA	NA	NA
CNAG_04530	DNA-binding protein	NA	NA	NA	NA
CNAG_04531	Enoyl-CoA hydratase	NA	NA	NA	NA
CNAG_04534	hypothetical protein, variant	NA	NA	NA	NA
CNAG_04535	Tartrate dehydrogenase	NA	NA	NA	NA
CNAG_04536	nicotinamide mononucleotide permease	NA	NA	NA	NA
CNAG_04537	hypothetical protein	NA	NA	NA	NA
CNAG_04538	ubiquitin-like modifier-activating enzyme ATG7	NA	NA	NA	NA
CNAG_04539	mitochondrial protein required for respiration	NA	NA	NA	NA
CNAG_04540	translocation protein Sec62	NA	NA	NA	NA
CNAG_04541	cleavage stimulation factor subunit 2	NA	NA	NA	NA
CNAG_04544	hypothetical protein	NA	NA	NA	NA
CNAG_04545	CTD kinase subunit gamma	NA	NA	NA	NA
CNAG_04546	multidrug transporter	LPI10	NA	NA	NA
CNAG_04548	hypothetical protein	NA	NA	NA	NA
CNAG_04551	hypothetical protein	NA	NA	NA	NA
CNAG_04552	putative myo-inositol transporter	ITR1A	NA	NA	NA
CNAG_04553	hypothetical protein	NA	NA	NA	NA
CNAG_04556	translocation protein Sec62	NA	NA	NA	NA
CNAG_04557	cleavage stimulation factor subunit 2	NA	NA	NA	NA
CNAG_04558	hypothetical protein	NA	NA	NA	NA
CNAG_04561	monooxygenase	NA	NA	NA	NA
CNAG_04562	hypothetical protein	NA	NA	NA	NA
CNAG_04563	fungal specific transcription factor	NA	NA	NA	NA
CNAG_04564	phytanoyl-CoA dioxygenase	NA	NA	NA	NA
CNAG_04565	hypothetical protein	NA	NA	NA	NA
CNAG_04566	beta-flanking protein	NA	NA	NA	NA
CNAG_04567	drug transporter	NA	NA	NA	NA
CNAG_04570	hypothetical protein	LHP1	NA	NA	NA
CNAG_04571	dimethyladenosine transferase	NA	NA	NA	NA
CNAG_04574	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	NA	NA	NA	NA
CNAG_04575	G2/mitotic-specific cyclin 1/2	NA	NA	NA	NA
CNAG_04576	hypothetical protein	NA	NA	NA	NA
CNAG_04577	Nucleoside-diphosphate kinase	NA	extracellular vesicle	NA	NA
CNAG_04579	Alpha-1,2-mannosyltransferase	NA	NA	NA	NA
CNAG_04580	RNA helicase	NA	NA	NA	NA
CNAG_04581	hypothetical protein	NA	NA	NA	NA
CNAG_04582	hypothetical protein	NA	NA	NA	NA
CNAG_04583	hypothetical protein	DDT1	NA	NA	response to dithiothreitol;response to tert-butyl hydroperoxide
CNAG_04584	poly(rC)-binding protein 2/3/4	NA	NA	NA	NA
CNAG_04585	hypothetical protein	NA	NA	NA	NA
CNAG_04586	LIM-homeobox protein	HOB7	NA	NA	mating;negative regulation of capsule organization;regulation of urease activity;response to dithiothreitol
CNAG_04587	hypothetical protein, variant	NA	NA	NA	NA
CNAG_04588	hypothetical protein	ERT1	NA	NA	melanin biosynthetic process;response to heat;response to sodium dodecyl sulfate
CNAG_04589	hypothetical protein	NA	NA	NA	NA
CNAG_04590	hypothetical protein	NA	NA	NA	NA
CNAG_04591	hypothetical protein	NA	NA	NA	NA
CNAG_04592	hypothetical protein	NA	NA	NA	NA
CNAG_04593	hypothetical protein	NA	NA	NA	NA
CNAG_04594	hypothetical protein	FZC27	NA	NA	response to hydrogen peroxide;response to tert-butyl hydroperoxide
CNAG_04595	hypothetical protein	NA	NA	NA	NA
CNAG_04596	prolyl endopeptidase	NA	NA	NA	NA
CNAG_04597	hypothetical protein	NA	NA	NA	NA
CNAG_04598	hypothetical protein	NA	NA	NA	NA
CNAG_04599	3-methyl-2-oxobutanoate hydroxymethyltransferase	NA	NA	NA	NA
CNAG_04600	DNA topoisomerase III	NA	NA	NA	NA
CNAG_04601	glycine hydroxymethyltransferase	NA	extracellular vesicle	NA	NA
CNAG_04602	hypothetical protein	NA	NA	NA	NA
CNAG_04603	replication fork protection complex subunit Csm3/Swi3	NA	NA	NA	NA
CNAG_04604	tryptophan-tRNA ligase	NA	NA	NA	NA
CNAG_04605	C-3 sterol dehydrogenase	ERG26	NA	NA	NA
CNAG_04606	hypothetical protein	NA	NA	NA	cellular response to heat
CNAG_04607	hypothetical protein	NA	NA	NA	NA
CNAG_04608	signal peptidase I	NA	NA	NA	NA
CNAG_04609	argonaute	AGO1	NA	NA	NA
CNAG_04610	hypothetical protein	NA	NA	NA	NA
CNAG_04611	ubiquitin-conjugating enzyme E2 H	UBC8	NA	NA	NA
CNAG_04612	hypothetical protein, variant 2	NA	NA	NA	NA
CNAG_04613	ATP-binding cassette, subfamily F, member 3	NA	NA	NA	NA
CNAG_04614	hypothetical protein	NA	NA	NA	NA
CNAG_04615	L-aminoadipate-semialdehyde dehydrogenase	NA	NA	NA	NA
CNAG_04616	hypothetical protein	NA	NA	NA	NA
CNAG_04617	OPT family small oligopeptide transporter	NA	NA	NA	NA
CNAG_04618	hypothetical protein	NA	NA	NA	NA
CNAG_04619	prolyl oligopeptidase	NA	NA	NA	NA
CNAG_04620	hypothetical protein	NA	NA	NA	NA
CNAG_04621	glycogen(starch) synthase, variant	NA	NA	NA	NA
CNAG_04622	endoplasmic reticulum protein	NA	NA	NA	NA
CNAG_04623	hypothetical protein	NA	NA	NA	NA
CNAG_04625	cerevisin	NA	extracellular region	NA	NA
CNAG_04626	hypothetical protein	NA	NA	NA	NA
CNAG_04627	COP9 signalosome complex subunit 12	NA	NA	NA	NA
CNAG_04628	translation initiation factor 6	NA	NA	NA	NA
CNAG_04629	Mob1 family protein	NA	NA	NA	NA
CNAG_04630	hypothetical protein	YAP2	NA	NA	cellular response to dithiothreitol;cellular response to hydrogen peroxide;response to diamide;response to salt stress;response to tert-butyl hydroperoxide;response to tunicamycin
CNAG_04631	ribitol kinase	RIK1	NA	NA	cellular response to methyl methanesulfonate
CNAG_04632	uracil permease	NA	NA	NA	NA
CNAG_04633	hypothetical protein	NA	NA	NA	NA
CNAG_04634	hypothetical protein	NA	NA	NA	cellular response to heat;cellular response to salt stress
CNAG_04635	endopeptidase	NA	NA	NA	NA
CNAG_04636	metacaspase-1	NA	NA	NA	NA
CNAG_04637	multiprotein-bridging factor 1	MBF1	NA	NA	melanin biosynthetic process
CNAG_04638	hypothetical protein	NA	NA	NA	NA
CNAG_04639	hypothetical protein	NA	NA	NA	NA
CNAG_04640	ATP-citrate synthase subunit 1	ACL1	NA	NA	capsule organization;carbon utilization;fungal-type cell wall organization;melanin biosynthetic process;response to drug
CNAG_04641	general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)	NA	NA	NA	NA
CNAG_04642	tetraspanin Tsp2	TSP2	NA	NA	cellular response to dithiothreitol
CNAG_04646	hypothetical protein	NA	NA	NA	NA
CNAG_04647	Glutathione synthetase	NA	NA	NA	NA
CNAG_04648	sister chromatid cohesion protein pds5	NA	NA	NA	NA
CNAG_04649	peptide alpha-N-acetyltransferase	NA	NA	NA	NA
CNAG_04650	actin-like protein arp6	NA	NA	NA	NA
CNAG_04651	hypothetical protein	NA	NA	NA	NA
CNAG_04652	enoyl reductase	NA	NA	NA	NA
CNAG_04653	hypothetical protein	NA	NA	NA	NA
CNAG_04654	UNC-50 family protein	NA	NA	NA	NA
CNAG_04655	rab family protein	NA	NA	NA	NA
CNAG_04656	arginine-tRNA-protein transferase	NA	NA	NA	NA
CNAG_04657	Short-chain dehydrogenase	NA	NA	NA	NA
CNAG_04658	hypothetical protein	NA	NA	NA	NA
CNAG_04659	Pyruvate decarboxylase	PDC1	extracellular vesicle	NA	NA
CNAG_04662	chromosome transmission fidelity protein 4	CTF4	NA	NA	NA
CNAG_04663	hypothetical protein	NA	NA	NA	NA
CNAG_04664	large subunit ribosomal protein L37	MRPL37	NA	NA	NA
CNAG_04665	hypothetical protein	NA	NA	NA	NA
CNAG_04666	26S protease regulatory subunit 8	NA	NA	NA	NA
CNAG_04667	hypothetical protein	NA	NA	NA	NA
CNAG_04668	ubiquitin-conjugating enzyme E2 M	UBC12	NA	NA	NA
CNAG_04669	mitochondrial matrix protein import protein	NA	NA	NA	NA
CNAG_04670	hypothetical protein	NA	NA	NA	NA
CNAG_04671	hypothetical protein	NA	NA	NA	NA
CNAG_04673	NAD dependent epimerase/dehydratase	NA	NA	NA	NA
CNAG_04674	transcriptional adapter 3	ADA3	NA	NA	NA
CNAG_04675	hypothetical protein	NA	NA	NA	NA
CNAG_04676	6-phosphofructokinase	NA	NA	NA	NA
CNAG_04677	xylitol dehydrogenase	NA	NA	NA	NA
CNAG_04678	AGC/AKT protein kinase	YPK1	NA	NA	cellular response to antibiotic;cellular response to diamide;cellular response to dithiothreitol;cellular response to heat;cellular response to hydrogen peroxide;cellular response to hydroxyurea;cellular response to menadione;cellular response to methyl methanesulfonate;cellular response to salt str
CNAG_04679	histone deacetylase complex subunit	NA	NA	NA	NA
CNAG_04680	hypothetical protein	NA	NA	NA	NA
CNAG_04681	transmembrane protein, putative	LPI14	NA	NA	cellular response to heat
CNAG_04682	DNA replication complex GINS protein psf3	NA	NA	NA	NA
CNAG_04683	hypothetical protein	NA	NA	NA	NA
CNAG_04684	protein transporter SEC23	SEC23	NA	NA	NA
CNAG_04686	hypothetical protein	NA	NA	NA	NA
CNAG_04687	stearoyl-CoA desaturase (delta-9 desaturase)	NA	NA	NA	NA
CNAG_04688	acyl-CoA dehydrogenase	NA	NA	NA	NA
CNAG_04689	hypothetical protein	NA	NA	NA	NA
CNAG_04690	acylpyruvate hydrolase, variant	NA	NA	NA	NA
CNAG_04691	hypothetical protein	NA	NA	NA	filamentous growth
CNAG_04692	thymidylate synthase	NA	NA	NA	NA
CNAG_04693	target of rapamycin complex 2 subunit	SIN1	NA	NA	regulation of sphingolipid biosynthetic process;response to antibiotic;response to drug;response to rapamycin
CNAG_04694	periodic tryptophan protein 1	NA	NA	NA	NA
CNAG_04695	hypothetical protein	NA	NA	NA	NA
CNAG_04696	DNA clamp loader	NA	NA	NA	NA
CNAG_04697	zinc finger protein	NA	NA	NA	NA
CNAG_04698	cytoplasmic protein	NA	NA	NA	NA
CNAG_04699	microfibrillar-associated protein 1	NA	NA	NA	NA
CNAG_04700	hypothetical protein	NA	NA	NA	NA
CNAG_04701	hypothetical protein	NA	NA	NA	NA
CNAG_04702	hypothetical protein	NA	NA	NA	NA
CNAG_04703	DNA clamp loader	NA	NA	NA	NA
CNAG_04704	MFS transporter, SHS family, lactate transporter	NA	NA	NA	NA
CNAG_04705	hypothetical protein	NA	NA	NA	NA
CNAG_04707	hypothetical protein	NA	NA	NA	NA
CNAG_04708	hypothetical protein	NA	NA	NA	NA
CNAG_04709	hypothetical protein	NA	NA	NA	NA
CNAG_04710	hypothetical protein	NA	NA	NA	NA
CNAG_04711	hypothetical protein	NA	NA	NA	NA
CNAG_04712	solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10	NA	NA	NA	NA
CNAG_04713	citrate lyase subunit beta-like protein	NA	NA	NA	NA
CNAG_04714	MFS multidrug transporter protein	NA	NA	NA	NA
CNAG_04715	oligosaccharyltransferase complex subunit alpha (ribophorin I)	NA	NA	NA	NA
CNAG_04716	KH domain-containing protein	NA	NA	NA	NA
CNAG_04717	hypothetical protein	NA	NA	NA	NA
CNAG_04718	hypothetical protein	PCD101	NA	NA	NA
CNAG_04719	solute carrier family 41	NA	NA	NA	NA
CNAG_04720	GTPase activating protein	NA	NA	NA	NA
CNAG_04721	hypothetical protein	NA	NA	NA	NA
