Gat201_4h_down,Gene,Product
1295,CNAG_04600,DNA topoisomerase III
1296,CNAG_03052,PP2Cc protein phosphatase
1297,CNAG_04753,gluconolactonase
1298,CNAG_04904,clathrin heavy chain
1299,CNAG_00964,hypothetical protein
1300,CNAG_06441,isoleucine-tRNA ligase
1301,CNAG_04313,NADPH2 dehydrogenase
1302,CNAG_07474,AP-2 complex subunit mu-1
1303,CNAG_05860,sterol O-acyltransferase
1304,CNAG_05860,"sterol O-acyltransferase, variant"
1305,CNAG_04306,vesicle transporter SFT2B
1306,CNAG_01199,nuclear pore complex protein Nup62
1307,CNAG_00473,oligosaccharyltransferase complex subunit epsilon
1308,CNAG_00739,hypothetical protein
1309,CNAG_03626,actin cross-linking protein
1310,CNAG_03325,ChAPs family protein
1311,CNAG_00679,hypothetical protein
1312,CNAG_06909,ABC transporter family protein
1313,CNAG_03162,vacuolar protein
1314,CNAG_01385,hypothetical protein
1315,CNAG_06548,endoplasmic reticulum protein
1316,CNAG_03844,nonselective cation channel protein
1317,CNAG_05935,UMP-CMP kinase
1318,CNAG_05404,"histone-lysine N-methyltransferase SUV39H, variant 1"
1319,CNAG_05404,histone-lysine N-methyltransferase SUV39H
1320,CNAG_05404,"histone-lysine N-methyltransferase SUV39H, variant 2"
1321,CNAG_03202,adenylate cyclase
1322,CNAG_05314,ADP-ribosylation factor GTPase-activating protein 2/3
1323,CNAG_03868,hypothetical protein
1324,CNAG_01561,WD-repeat protein
1325,CNAG_03781,hypothetical protein
1326,CNAG_02796,3-deoxy-7-phosphoheptulonate synthase
1327,CNAG_01321,acyl carrier protein
1328,CNAG_04806,golgi phosphoprotein 3
1329,CNAG_08025,hypothetical protein
1330,CNAG_05602,1-pyrroline-5-carboxylate dehydrogenase
1331,CNAG_01507,protein CGI121
1332,CNAG_04841,transcriptional regulatory protein
1333,CNAG_04841,"transcriptional regulatory protein, variant"
1334,CNAG_00175,hypothetical protein
1335,CNAG_04119,rho guanyl-nucleotide exchange factor
1336,CNAG_06351,protein transporter SEC61 subunit beta
1337,CNAG_05892,phosphoglycerate mutase
1338,CNAG_05636,hypothetical protein
1339,CNAG_01929,hypothetical protein
1340,CNAG_00692,FAD dependent oxidoreductase
1341,CNAG_04458,"DNA helicase, variant"
1342,CNAG_04458,DNA helicase
1343,CNAG_05415,hypothetical protein
1344,CNAG_02749,histone-lysine N-methyltransferase SUV420H
1345,CNAG_05216,CAMK protein kinase
1346,CNAG_06635,CCR4-NOT transcription complex subunit 3
1347,CNAG_01174,hypothetical protein
1348,CNAG_03552,hypothetical protein
1349,CNAG_02240,cytoplasmic protein
1350,CNAG_04179,lysine-tRNA ligase
1351,CNAG_03518,phenylacrylic acid decarboxylase
1352,CNAG_04814,hypothetical protein
1353,CNAG_01015,cytoplasmic protein
1354,CNAG_02930,hypothetical protein
1355,CNAG_06631,myosin heavy chain
1356,CNAG_02221,"solute carrier family 39 (zinc transporter), member 9"
1357,CNAG_04199,hypothetical protein
1358,CNAG_02823,bloom syndrome protein
1359,CNAG_07529,"threonine ammonia-lyase, biosynthetic"
1360,CNAG_08021,hypothetical protein
1361,CNAG_08021,hypothetical protein
1362,CNAG_07590,V-type H -transporting ATPase subunit C
1363,CNAG_02026,hypothetical protein
1364,CNAG_01451,hypothetical protein
1365,CNAG_02123,methionyl-tRNA formyltransferase
1366,CNAG_04847,hypothetical protein
1367,CNAG_05416,pre-mRNA-processing protein 45
1368,CNAG_06407,cytochrome c oxidase subunit 7c
1369,CNAG_02593,hypothetical protein
1370,CNAG_05357,hypothetical protein
1371,CNAG_07794,hypothetical protein
1372,CNAG_02385,DNA primase small subunit
1373,CNAG_06384,DNA repair protein RAD50
1374,CNAG_01182,cytoplasmic protein
1375,CNAG_07694,nicotinate (nicotinamide) nucleotide adenylyltransferase
1376,CNAG_07694,"nicotinate (nicotinamide) nucleotide adenylyltransferase, variant"
1377,CNAG_06180,NADH dehydrogenase (ubiquinone) Fe-S protein 4
1378,CNAG_07576,hypothetical protein
1379,CNAG_00389,mitochondrial protein
1380,CNAG_00067,protein translocase SEC61 complex gamma subunit
1381,CNAG_01019,superoxide dismutase [Cu-Zn]
1382,CNAG_05508,hypothetical protein
1383,CNAG_03987,elongation factor 1 alpha-like protein
1384,CNAG_04280,hypothetical protein
1385,CNAG_03967,F-actin capping protein
1386,CNAG_07901,hypothetical protein
1387,CNAG_02187,terbinafine resistance locus protein
1388,CNAG_05650,"ubiquitin carboxyl-terminal hydrolase 7, variant"
1389,CNAG_05650,ubiquitin carboxyl-terminal hydrolase 7
1390,CNAG_04738,fimbrin
1391,CNAG_00356,survival factor 1
1392,CNAG_04041,hypothetical protein
1393,CNAG_03244,hypothetical protein
1394,CNAG_01553,CORD and CS domain-containing protein
1395,CNAG_07550,hypothetical protein
1396,CNAG_00156,hypothetical protein
1397,CNAG_00156,"hypothetical protein, variant"
1398,CNAG_03250,hypothetical protein
1399,CNAG_02873,signal peptidase I
1400,CNAG_03706,serine/threonine-protein phosphatase PP1
1401,CNAG_02161,cortical actin cytoskeleton protein asp1
1402,CNAG_01577,glutamate dehydrogenase (NADP)
1403,CNAG_00503,hypothetical protein
1404,CNAG_07524,AMP deaminase
1405,CNAG_04792,phosphatidylserine decarboxylase
1406,CNAG_04788,hypothetical protein
1407,CNAG_05696,ubiquitin-conjugating enzyme E2-16 kDa
1408,CNAG_02848,hypothetical protein
1409,CNAG_06370,branched-chain amino acid aminotransferase
1410,CNAG_06307,NA
1411,CNAG_00698,hypothetical protein
1412,CNAG_06887,hypothetical protein
1413,CNAG_04277,hypothetical protein
1414,CNAG_05862,DNA excision repair protein ERCC-1
1415,CNAG_05862,"DNA excision repair protein ERCC-1, variant"
1416,CNAG_00634,"hypothetical protein, variant"
1417,CNAG_00634,hypothetical protein
1418,CNAG_00556,CK1/CK1/CK1-G protein kinase
1419,CNAG_00556,"CK1/CK1/CK1-G protein kinase, variant"
1420,CNAG_06550,nucleoporin family protein
1421,CNAG_01037,DNA mismatch repair protein MLH3
1422,CNAG_04300,hypothetical protein
1423,CNAG_03240,"mannosyl-oligosaccharide 1,2-alpha-mannosidase"
1424,CNAG_06934,hexose transporter protein
1425,CNAG_06934,"hexose transporter protein, variant 3"
1426,CNAG_06934,"hexose transporter protein, variant 2"
1427,CNAG_06934,"hexose transporter protein, variant 1"
1428,CNAG_00645,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
1429,CNAG_00632,hypothetical protein
1430,CNAG_03847,hypothetical protein
1431,CNAG_03297,histone acetyltransferase type B subunit 2
1432,CNAG_02575,RAB small monomeric GTPase
1433,CNAG_07956,WD repeat and SOF domain-containing protein 1
1434,CNAG_07879,NA
1435,CNAG_01322,hypothetical protein
1436,CNAG_07914,"protein phosphatase 2 (formerly 2A), regulatory subunit A"
1437,CNAG_06033,pfkB family carbohydrate kinase superfamily
1438,CNAG_03386,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
1439,CNAG_00073,nuclear mRNA splicing protein
1440,CNAG_06392,SAGA-associated factor 29
1441,CNAG_06717,acyl-CoA-dependent ceramide synthase
1442,CNAG_03659,DNA replication regulator DPB11
1443,CNAG_01291,hypothetical protein
1444,CNAG_03857,hypothetical protein
1445,CNAG_06792,hypothetical protein
1446,CNAG_00072,protein disulfide-isomerase
1447,CNAG_03366,hypothetical protein
1448,CNAG_03366,"hypothetical protein, variant"
1449,CNAG_00359,hypothetical protein
1450,CNAG_04255,hypothetical protein
1451,CNAG_05447,elongin-A
1452,CNAG_05112,hypothetical protein
1453,CNAG_00090,hypothetical protein
1454,CNAG_00090,"hypothetical protein, variant"
1455,CNAG_04952,ADP-ribosylation factor 6
1456,CNAG_06369,geranylgeranyl transferase type-2 subunit alpha
1457,CNAG_04752,hypothetical protein
1458,CNAG_06148,hypothetical protein
1459,CNAG_01147,ARP2/3 complex 20 kDa subunit
1460,CNAG_05271,transcription initiation factor TFIIE subunit beta
1461,CNAG_06365,derlin-2/3
1462,CNAG_07607,chaperone regulator
1463,CNAG_02173,transporter particle component
1464,CNAG_01274,coatomer subunit gamma
1465,CNAG_01643,hypothetical protein
1466,CNAG_01643,"hypothetical protein, variant"
1467,CNAG_00319,hypothetical protein
1468,CNAG_00319,"hypothetical protein, variant"
1469,CNAG_01504,hypothetical protein
1470,CNAG_03315,GTP-binding protein rhoA
1471,CNAG_05848,splicing factor U2AF 65 kDa subunit
1472,CNAG_01958,het-c2 protein
1473,CNAG_00517,hypothetical protein
1474,CNAG_04724,ubiquitin-protein ligase E3 C
1475,CNAG_00558,hypothetical protein
1476,CNAG_03586,hypothetical protein
1477,CNAG_01739,"hypothetical protein, variant"
1478,CNAG_01739,hypothetical protein
1479,CNAG_03274,"solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26"
1480,CNAG_04439,V-type proton ATPase subunit B
1481,CNAG_05068,GTP-binding protein ypt1
1482,CNAG_02938,cytochrome c oxidase subunit 6a
1483,CNAG_02885,capsular associated protein
1484,CNAG_05038,hypothetical protein
1485,CNAG_03447,hypothetical protein
1486,CNAG_03839,CCR4-NOT transcription complex subunit 4
1487,CNAG_03839,"CCR4-NOT transcription complex subunit 4, variant 1"
1488,CNAG_03839,"CCR4-NOT transcription complex subunit 4, variant 2"
1489,CNAG_05012,hypothetical protein
1490,CNAG_03190,glucose-repressible alcohol dehydrogenase transcriptional effector
1491,CNAG_00388,1-phosphatidylinositol-4-phosphate 5-kinase
1492,CNAG_00439,hypothetical protein
1493,CNAG_01408,PH and SEC7 domain-containing protein
1494,CNAG_01799,ubiquinol-cytochrome c reductase subunit 8
1495,CNAG_02452,hypothetical protein
1496,CNAG_00696,alpha-mannosidase
1497,CNAG_06240,protein disulfide-isomerase
1498,CNAG_01109,hypothetical protein
1499,CNAG_05379,regucalcin
1500,CNAG_00185,hypothetical protein
1501,CNAG_02236,protein phosphatase
1502,CNAG_07645,hypothetical protein
1503,CNAG_05469,E3 ubiquitin-protein ligase synoviolin
1504,CNAG_05235,protein BMH2
1505,CNAG_03598,ubiquilin
1506,CNAG_06469,phospholipid-translocating ATPase
1507,CNAG_00074,protein PNS1
1508,CNAG_07450,hypothetical protein
1509,CNAG_02503,"glutathione peroxidase, variant"
1510,CNAG_02503,glutathione peroxidase
1511,CNAG_01911,hypothetical protein
1512,CNAG_01054,RNA polymerase II subunit A domain phosphatase SSU72
1513,CNAG_00721,"alpha-1,3-mannosyltransferase"
1514,CNAG_03306,vesicle transport through interaction with t-SNAREs 1
1515,CNAG_01234,spore wall assembly-associated protein
1516,CNAG_00335,hypothetical protein
1517,CNAG_02036,hypothetical protein
1518,CNAG_07483,DNA polymerase zeta subunit
1519,CNAG_01637,COPII-coated vesicle component Erv46
1520,CNAG_07477,"hypothetical protein, variant"
1521,CNAG_07477,hypothetical protein
1522,CNAG_07498,hypothetical protein
1523,CNAG_04312,mannose-6-phosphate isomerase
1524,CNAG_04241,"cytoplasmic protein, variant"
1525,CNAG_04241,cytoplasmic protein
1526,CNAG_01839,peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
1527,CNAG_00545,cohesin loading factor subunit SCC2
1528,CNAG_04608,signal peptidase I
1529,CNAG_05713,elongator complex protein 1
1530,CNAG_01923,ATPase GET3
1531,CNAG_00354,vacuolar protein 8
1532,CNAG_05596,nuclear transport factor 2
1533,CNAG_05622,specific transcriptional repressor
1534,CNAG_03620,hypothetical protein
1535,CNAG_00294,splicing factor 45
1536,CNAG_00436,palmitoyltransferase AKR1
1537,CNAG_01704,serine/threonine protein kinase
1538,CNAG_00693,F-box and WD-40 domain-containing protein CDC4
1539,CNAG_00693,"F-box and WD-40 domain-containing protein CDC4, variant"
1540,CNAG_01167,chromosome associated protein
1541,CNAG_03720,D-tyrosyl-tRNA(Tyr) deacylase
1542,CNAG_03720,"D-tyrosyl-tRNA(Tyr) deacylase, variant"
1543,CNAG_01186,hypothetical protein
1544,CNAG_02727,hypothetical protein
1545,CNAG_02789,nitrogen permease regulator 2
1546,CNAG_01840,tubulin beta chain
1547,CNAG_06751,hypothetical protein
1548,CNAG_04444,splicing factor 3B subunit 1
1549,CNAG_00058,T-complex protein 1 subunit epsilon
1550,CNAG_04371,hypothetical protein
1551,CNAG_00271,INO80 complex subunit C
1552,CNAG_04414,multidrug resistance protein fnx1
1553,CNAG_05921,2-acylglycerol O-acyltransferase 2
1554,CNAG_06414,"cytochrome c oxidase-assembly factor COX23, mitochondrial"
1555,CNAG_05218,adenylyl cyclase-associated protein
1556,CNAG_03787,tubulin alpha-1A chain
1557,CNAG_02210,ribonuclease Z
1558,CNAG_05423,SET domain-containing protein
1559,CNAG_04786,"hypothetical protein, variant"
1560,CNAG_04786,hypothetical protein
1561,CNAG_02213,epsin
1562,CNAG_02217,chitin synthase
1563,CNAG_02214,ubiquitin-conjugating enzyme E2 J1
1564,CNAG_00362,hypothetical protein
1565,CNAG_01740,septin
1566,CNAG_06573,hypothetical protein
1567,CNAG_00138,ubiquinone biosynthesis methyltransferase
1568,CNAG_01861,26S proteasome non-ATPase regulatory subunit 10
1569,CNAG_06428,ubiquitin thioesterase OTU1
1570,CNAG_05124,protein SEY1
1571,CNAG_06114,rab family protein
1572,CNAG_04022,translation initiation factor
1573,CNAG_01845,AGC/PKC protein kinase
1574,CNAG_02730,sorting nexin-41
1575,CNAG_06278,hypothetical protein
1576,CNAG_06444,signal peptidase
1577,CNAG_05510,hypothetical protein
1578,CNAG_05510,"hypothetical protein, variant"
1579,CNAG_04713,citrate lyase subunit beta-like protein
1580,CNAG_02156,hypothetical protein
1581,CNAG_01352,hypothetical protein
1582,CNAG_07744,Atypical/PI4K protein kinase
1583,CNAG_03752,hypothetical protein
1584,CNAG_03222,RNA lariat debranching enzyme
1585,CNAG_02895,dynamin GTPase
1586,CNAG_05673,GPI inositol-deacylase
1587,CNAG_05673,"GPI inositol-deacylase, variant"
1588,CNAG_02440,cation-transporting ATPase
1589,CNAG_07517,hypothetical protein
1590,CNAG_01948,nuclear protein
1591,CNAG_06754,RNA polymerase-associated protein CTR9
1592,CNAG_05733,cytoplasmic protein
1593,CNAG_05074,hypothetical protein
1594,CNAG_07668,hypothetical protein
1595,CNAG_00685,pre-mRNA-splicing ATP-dependent RNA helicase PRP28
1596,CNAG_06490,CAMK/CAMKL protein kinase
1597,CNAG_03699,pre-mRNA-processing ATP-dependent RNA helicase PRP5
1598,CNAG_04851,transitional endoplasmic reticulum ATPase
1599,CNAG_02082,DASH complex subunit DAD1
1600,CNAG_04113,hypothetical protein
1601,CNAG_01298,lysophospholipase NTE1
1602,CNAG_01973,C2H2 zinc finger protein Zas1A
1603,CNAG_01243,"histone-lysine N-methyltransferase, H3 lysine-4 specific"
1604,CNAG_04828,histone H3
1605,CNAG_03444,hypothetical protein
1606,CNAG_04054,translation initiation factor SUI1
1607,CNAG_07000,hypothetical protein
1608,CNAG_03832,"alpha 1,2-mannosyltransferase"
1609,CNAG_06473,hypothetical protein
1610,CNAG_07903,hypothetical protein
1611,CNAG_02200,hypothetical protein
1612,CNAG_01302,hypothetical protein
1613,CNAG_06747,histone H2A
1614,CNAG_06747,"histone H2A, variant"
1615,CNAG_04131,antiviral helicase SKI2
1616,CNAG_06648,RNA polymerase-associated protein RTF1
1617,CNAG_01818,ATP synthase mitochondrial F1 complex assembly factor 2
1618,CNAG_04848,"mRNA binding protein, variant"
1619,CNAG_04848,mRNA binding protein
1620,CNAG_04073,hypothetical protein
1621,CNAG_02811,small subunit ribosomal protein S29
1622,CNAG_03225,"malate dehydrogenase, NAD-dependent"
1623,CNAG_03126,hypothetical protein
1624,CNAG_04111,"lectin, mannose-binding 2"
1625,CNAG_05865,20S proteasome subunit beta 6
1626,CNAG_06138,NADH dehydrogenase (ubiquinone) Fe-S protein 6
1627,CNAG_03039,DNA damage-inducible protein 1
1628,CNAG_07322,hypothetical protein
1629,CNAG_02879,"chloride channel protein, nucleotide-sensitive, 1A"
1630,CNAG_04340,hypothetical protein
1631,CNAG_05139,"solute carrier family 35 (UDP-sugar transporter), member A1/2/3, variant"
1632,CNAG_05139,"solute carrier family 35 (UDP-sugar transporter), member A1/2/3"
1633,CNAG_06594,oxysterol binding protein
1634,CNAG_00690,hypothetical protein
1635,CNAG_05875,cytochrome c heme-lyase
1636,CNAG_06767,F-type H -transporting ATPase subunit delta
1637,CNAG_01351,hypothetical protein
1638,CNAG_01220,mitochondrial FAD-linked sulfhydryl oxidase ERV1
1639,CNAG_03263,translation elongation factor Tu
1640,CNAG_05246,hypothetical protein
1641,CNAG_01332,small subunit ribosomal protein S24e
1642,CNAG_01221,"di-trans,poly-cis-decaprenylcistransferase"
1643,CNAG_01688,ATP-dependent metalloprotease
1644,CNAG_05858,hypothetical protein
1645,CNAG_01039,superkiller protein 3
1646,CNAG_03283,large subunit ribosomal protein L24e
1647,CNAG_07352,hypothetical protein
1648,CNAG_05770,proteasome component PRE2
1649,CNAG_04710,hypothetical protein
1650,CNAG_05557,mitochondrial outer membrane protein
1651,CNAG_05285,hypothetical protein
1652,CNAG_06474,RNA-binding protein Musashi
1653,CNAG_03739,large subunit ribosomal protein L10-like
1654,CNAG_03271,pre-mRNA-splicing factor PRP46
1655,CNAG_02739,hypothetical protein
1656,CNAG_04013,potassium channel protein
1657,CNAG_06130,hypothetical protein
1658,CNAG_04726,large subunit ribosomal protein L18Ae
1659,CNAG_03708,signal recognition particle subunit SRP72
1660,CNAG_02257,GTP-binding nuclear protein spi1
1661,CNAG_04180,large subunit ribosomal protein L15
1662,CNAG_03621,peptidyl-prolyl cis-trans isomerase
1663,CNAG_03621,"peptidyl-prolyl cis-trans isomerase, variant"
1664,CNAG_03151,COP9 signalosome complex subunit 4
1665,CNAG_07813,hypothetical protein
1666,CNAG_03158,"alpha-1,3-mannosyltransferase CMT1"
1667,CNAG_05105,translation initiation factor 3 subunit L
1668,CNAG_05499,SHO1 osmosensor
1669,CNAG_05975,ribonuclease Z
1670,CNAG_00554,inositol phosphorylsphingolipid-phospholipase C
1671,CNAG_00602,translation initiation factor 3 subunit I
1672,CNAG_00603,pre-rRNA-processing protein PNO1
1673,CNAG_00121,glycerol-3-phosphate dehydrogenase (NAD())
1674,CNAG_01342,hypothetical protein
1675,CNAG_02993,"solute carrier family 39 (zinc transporter), member 7"
1676,CNAG_04664,large subunit ribosomal protein L37
1677,CNAG_02492,peptidyl-prolyl cis-trans isomerase-like 3
1678,CNAG_04011,large subunit ribosomal protein L37a
1679,CNAG_07426,proteasome maturation protein
1680,CNAG_07838,cytoplasmic protein
1681,CNAG_01788,tRNA(His) guanylyltransferase
1682,CNAG_02725,20S proteasome subunit beta 2
1683,CNAG_00806,hypothetical protein
1684,CNAG_02569,hypothetical protein
1685,CNAG_05980,large subunit ribosomal protein L7/L12
1686,CNAG_01676,tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit TRM6
1687,CNAG_01607,thioredoxin
1688,CNAG_01400,3-deoxy-7-phosphoheptulonate synthase
1689,CNAG_03627,peptidyl-prolyl cis-trans isomerase
1690,CNAG_01852,CCR4-NOT transcription complex subunit 2
1691,CNAG_05496,2-isopropylmalate synthase
1692,CNAG_04005,cytoplasmic protein
1693,CNAG_04005,"cytoplasmic protein, variant"
1694,CNAG_01128,hydroxyacylglutathione hydrolase
1695,CNAG_00968,hypothetical protein
1696,CNAG_00968,"hypothetical protein, variant"
1697,CNAG_05781,dynein light chain LC8-type
1698,CNAG_00562,hypothetical protein
1699,CNAG_06288,RNA binding protein
1700,CNAG_00708,pre-mRNA-splicing factor SLT11
1701,CNAG_06216,hypothetical protein
1702,CNAG_06664,sorting nexin MVP1
1703,CNAG_01877,GMP synthase [glutamine-hydrolyzing]
1704,CNAG_03032,"dynactin 2, variant"
1705,CNAG_03032,dynactin 2
1706,CNAG_03861,cytochrome c oxidase subunit 5a
1707,CNAG_02197,hypothetical protein
1708,CNAG_00512,mitochondrial carrier protein
1709,CNAG_05007,translation initiation factor eIF-2B subunit beta
1710,CNAG_01800,hypothetical protein
1711,CNAG_06882,hypothetical protein
1712,CNAG_01711,glycerol-3-phosphate O-acyltransferase/dihydroxyacetone phosphate acyltransferase
1713,CNAG_06746,histone H2B
1714,CNAG_07430,transcription factor binding protein
1715,CNAG_01807,ATP-dependent helicase
1716,CNAG_02067,vacuolar protein
1717,CNAG_00022,cytochrome c heme-lyase
1718,CNAG_03886,hypothetical protein
1719,CNAG_07445,transketolase
1720,CNAG_04296,hypothetical protein
1721,CNAG_07717,ubiquitin carboxyl-terminal hydrolase 4/11/15
1722,CNAG_03916,glucose-6-phosphate isomerase
1723,CNAG_00673,cytoplasmic protein
1724,CNAG_06467,hypothetical protein
1725,CNAG_04194,protein transporter SEC13
1726,CNAG_04263,hypothetical protein
1727,CNAG_01867,mitochondrial division protein 1
1728,CNAG_05176,hypothetical protein
1729,CNAG_01189,DNA-directed RNA polymerase I subunit RPA1
1730,CNAG_05716,hypothetical protein
1731,CNAG_05398,phosphoserine transaminase
1732,CNAG_00013,"hypothetical protein, variant 1"
1733,CNAG_00013,hypothetical protein
1734,CNAG_00013,"hypothetical protein, variant 2"
1735,CNAG_00584,profilin
1736,CNAG_04021,large subunit ribosomal protein L24
1737,CNAG_00458,hypothetical protein
1738,CNAG_00458,"hypothetical protein, variant"
1739,CNAG_01208,high-affinity cell membrane calcium channel protein
1740,CNAG_00786,hypothetical protein
1741,CNAG_07689,pre-mRNA-splicing factor CWC22
1742,CNAG_06231,large subunit ribosomal protein L13
1743,CNAG_04906,26S protease regulatory subunit 10B
1744,CNAG_05690,histone deacetylase RPD3
1745,CNAG_05765,ubiquitin-conjugating enzyme E2 J2
1746,CNAG_04127,pre-mRNA-splicing factor CWC24
1747,CNAG_03674,"oxoglutarate dehydrogenase (succinyl-transferring), E1 component"
1748,CNAG_06123,leucine-tRNA ligase
1749,CNAG_01092,hypothetical protein
1750,CNAG_01018,histone-lysine N-methyltransferase Su(var)3-9
1751,CNAG_04004,small subunit ribosomal protein S1
1752,CNAG_05297,hypothetical protein
1753,CNAG_00930,argininosuccinate synthase
1754,CNAG_06679,anthranilate synthase component I
1755,CNAG_06753,nuclear cap-binding protein subunit 1
1756,CNAG_07719,26S protease regulatory subunit 7
1757,CNAG_03604,mRNA 3'-end-processing protein YTH1
1758,CNAG_02792,mitochondrial chaperone BCS1
1759,CNAG_00480,hypothetical protein
1760,CNAG_06633,small subunit ribosomal protein S15
1761,CNAG_04401,alpha-soluble NSF attachment protein
1762,CNAG_04522,hypothetical protein
1763,CNAG_06368,hypothetical protein
1764,CNAG_02951,hypothetical protein
1765,CNAG_02426,pre-mRNA-splicing factor SYF1
1766,CNAG_02128,translation initiation factor 3 subunit J
1767,CNAG_01650,large subunit ribosomal protein L7
1768,CNAG_03331,phosphatidylserine decarboxylase
1769,CNAG_00886,adenosylhomocysteinase
1770,CNAG_02709,small subunit ribosomal protein S19
1771,CNAG_05920,tRNA-specific adenosine deaminase 2
1772,CNAG_06356,mitochondrial protein
1773,CNAG_04234,hypothetical protein
1774,CNAG_03289,"methionine aminopeptidase, type II"
1775,CNAG_00788,NADH dehydrogenase
1776,CNAG_00700,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
1777,CNAG_00640,small subunit ribosomal protein S4-A
1778,CNAG_04883,small subunit ribosomal protein S18
1779,CNAG_05904,small subunit ribosomal protein S14
1780,CNAG_01045,hypothetical protein
1781,CNAG_03457,arginine-tRNA ligase
1782,CNAG_04844,mitochondrial import receptor subunit tom22
1783,CNAG_01725,hypothetical protein
1784,CNAG_01725,"hypothetical protein, variant"
1785,CNAG_05568,septum formation protein Maf
1786,CNAG_01230,chitin deacetylase 2
1787,CNAG_06574,antiphagocytic protein 1
1788,CNAG_03914,"hypothetical protein, variant"
1789,CNAG_03914,hypothetical protein
1790,CNAG_05859,hypothetical protein
1791,CNAG_02878,hypothetical protein
1792,CNAG_06113,hypothetical protein
1793,CNAG_03139,phosphatidylethanolamine N-methyltransferase
1794,CNAG_00140,U1 small nuclear ribonucleoprotein 70kDa
1795,CNAG_04977,pre-mRNA branch site protein p14
1796,CNAG_00761,coiled-coil domain-containing protein 12
1797,CNAG_04613,"ATP-binding cassette, subfamily F, member 3"
1798,CNAG_04850,"hypothetical protein, variant"
1799,CNAG_04850,hypothetical protein
1800,CNAG_02915,AGC/PDK1 protein kinase
1801,CNAG_01728,hypothetical protein
1802,CNAG_00649,"tryptophan synthase, beta subunit"
1803,CNAG_00987,prefoldin subunit
1804,CNAG_05689,pre-mRNA-splicing factor SPF27
1805,CNAG_00229,hypothetical protein
1806,CNAG_06221,diphthamide biosynthesis protein 2
1807,CNAG_06492,cytoplasmic protein
1808,CNAG_04875,hypothetical protein
1809,CNAG_03588,L-aminoadipate-semialdehyde dehydrogenase
1810,CNAG_04063,selenoprotein W
1811,CNAG_00468,hypothetical protein
1812,CNAG_02928,large subunit ribosomal protein L5e
1813,CNAG_01713,hypothetical protein
1814,CNAG_00411,nucleoporin p58/p45
1815,CNAG_04840,small nuclear ribonucleoprotein B and B'
1816,CNAG_01168,H/ACA ribonucleoprotein complex subunit 4
1817,CNAG_00124,hypothetical protein
1818,CNAG_03038,hypothetical protein
1819,CNAG_05905,transcription factor IIIB 90 kDa subunit
1820,CNAG_04541,cleavage stimulation factor subunit 2
1821,CNAG_05793,hypothetical protein
1822,CNAG_02901,U6 snRNA-associated Sm-like protein LSm4
1823,CNAG_04524,zinc metalloprotease
1824,CNAG_05231,nuclear protein
1825,CNAG_05745,cytoplasmic protein
1826,CNAG_02948,peptide chain release factor 1
1827,CNAG_05928,"hypothetical protein, variant"
1828,CNAG_05928,hypothetical protein
1829,CNAG_06630,import inner membrane translocase subunit tim44
1830,CNAG_05200,pyridoxal kinase
1831,CNAG_07558,hypothetical protein
1832,CNAG_04647,glutathione synthetase
1833,CNAG_01170,small subunit ribosomal protein S17
1834,CNAG_02301,lupus La protein
1835,CNAG_07020,hypothetical protein
1836,CNAG_02232,RNA polymerase II-associated factor 1
1837,CNAG_02718,NAD binding dehydrogenase
1838,CNAG_02704,hypothetical protein
1839,CNAG_05665,hypothetical protein
1840,CNAG_05365,ribose-phosphate pyrophosphokinase
1841,CNAG_04215,sulfate adenylyltransferase
1842,CNAG_05241,U6 snRNA-associated Sm-like protein LSm7
1843,CNAG_04405,cyclin H
1844,CNAG_03342,tRNA (guanine-N(7)-)-methyltransferase subunit TRM82
1845,CNAG_04110,glutathione S-transferase
1846,CNAG_02952,hypothetical protein
1847,CNAG_05058,GTPase
1848,CNAG_05234,mitochondrial import inner membrane translocase subunit TIM54
1849,CNAG_05085,deoxyhypusine hydroxylase
1850,CNAG_00019,mitochondrial import inner membrane translocase subunit TIM9
1851,CNAG_00062,26S proteasome regulatory subunit N3
1852,CNAG_01483,hypothetical protein
1853,CNAG_07362,nucleolin
1854,CNAG_01884,large subunit ribosomal protein L3
1855,CNAG_02294,phosphoribosylaminoimidazole carboxylase
1856,CNAG_00542,salicylate hydroxylase
1857,CNAG_06222,large subunit ribosomal protein L32e
1858,CNAG_00705,RuvB-like helicase 2
1859,CNAG_03321,vacuolar protein sorting-associated protein 9
1860,CNAG_02745,hypothetical protein
1861,CNAG_01904,vacuolar amino acid transporter 5
1862,CNAG_02280,hypothetical protein
1863,CNAG_00248,ESCRT-II complex subunit VPS36
1864,CNAG_02127,cyclin-dependent protein kinase regulator
1865,CNAG_02670,bud emergence protein 1
1866,CNAG_04935,hypothetical protein
1867,CNAG_00807,hypothetical protein
1868,CNAG_02686,cystathionine beta-lyase
1869,CNAG_01307,endoplasmic reticulum protein
1870,CNAG_01501,hypothetical protein
1871,CNAG_00514,hypothetical protein
1872,CNAG_01549,splicing factor 3A subunit 3
